Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPUZ00115	US	Minis	Archibald’s Adventures (Minis)	http://zeus.dl.playstation.net/cdn/UP4157/NPUZ00115_00/aAmUgDCHmjdyBA53vqCIeqwJY0jrxukcdAD8GbDfV85INbjXHIs1fHyDLVFFMYtH5YxcKEQrxelPNsHYSbLPLC4HfXd7lrO8QdbWd.pkg	UP4157-NPUZ00115_00-ARCHIBALD0000001	2017-10-30 15:53:52			23280528	01335d4925babebbe7ee2154dc26f4d1e6cc738db5f163c16a67c9d244abecad
NPUZ00116	US	Minis	Arcade Essentials (Minis)	http://zeus.dl.playstation.net/cdn/UP4069/NPUZ00116_00/KqxmsGSVNkZBwnvsCYzFAHuDnKDTlRTjLXJOTMfSOndQEPoXitYxAohvThfxKxkJhfpovnpCCELQokKynQqANJeTuFcOCUtwlXEzs.pkg	UP4069-NPUZ00116_00-ARCADEESSENTIALS	2017-10-30 15:53:52			30989312	bd69ab155a6db4a0949d113bf3f8dad44a87aba7a4185128ebed33d68f99a610
NPUZ00118	US	Minis	Carnivores: Dinosaur Hunter (v2) (Minis)	http://zeus.dl.playstation.net/cdn/UP4101/NPUZ00118_00/NEtCOqoSkjyZBSWFjOCFxUAWIQVHUiENJxRmhqgKyKFeUxeijVGXtjOPgbXTOvTLGdMNKUdvFCuvhTelnNYmaCWcAMijHhtiemoUT.pkg	UP4101-NPUZ00118_00-CARNIVORESHUNTER	2017-10-30 15:53:52			36951904	ebab9e25027532f71c2c05b63b198d162e21eb81f0ab9fdc97836eee9bf66066
NPUZ00118	US	Minis	Carnivores: Dinosaur Hunters (v3) (Minis)	http://zeus.dl.playstation.net/cdn/UP4101/NPUZ00118_00/dHCVqdIWPVEGsbFcqUIcMskvsisbYDapiGZJLZXSJsZIlswufftySpnNJJqsLrOF.pkg	UP4101-NPUZ00118_00-CARNIVORESHUNTER	2017-10-30 15:53:52			41033552	8f9187db8332430ae2c9542636d9c2264abf19248590389ad16b98008946ae70
NPUZ00119	US	Minis	Angry Birds (Minis)	http://zeus.dl.playstation.net/cdn/UP4123/NPUZ00119_00/NxVLvCYVmRedPYfdKpiDCJcxAbfPeUlZsdTHkwopcCCsFHlAvDchUivyDAFYaVvYnlPrypLsMaZDIPmNgVloZFLvfEImVbOeglHLX.pkg	UP4123-NPUZ00119_00-ANGRYBIRDSGAME01	2017-10-30 15:53:52			17214208	3c55c86eddf74add64423cf88dfbe3ce39d7d622ab517de83380ea88a5647862
NPUZ00120	US	Minis	Blimp: The Flying Adventures (Minis)	http://zeus.dl.playstation.net/cdn/UP4151/NPUZ00120_00/zxNadOUNfYaXzpKnjQwbNeOIlwbkBBHxrCIuTLZSqYjJmhfOcnHRmTecsVqyJIkeMKKtlnADpcyyUDYJCmXsipCVrQIWqhrBhKuIs.pkg	UP4151-NPUZ00120_00-BLIMPTHEFLYINGUS	2017-10-30 15:53:52			37539120	2f2b288b8e3865b3c5e5b45f33b3ea71cecc94283a86bb9a5031fbf3706e72eb
NPUZ00121	US	Minis	Forest Puzzle (Minis)	http://zeus.dl.playstation.net/cdn/UP4148/NPUZ00121_00/ZowEnCCjYIPRYgDYaUpPDzPmCKgTmQTrjomghDErTwAVGtVmOAONNfLiBVHuDqJiDjrKrQtLKfVSKJiVjQqmtdMRnuYDaTcDVUkDD.pkg	UP4148-NPUZ00121_00-FORESTPUZZLEMINI	2017-10-30 15:53:52			13098912	806199f8dff7a2b70541d8591955d3bb3d62d49dc21606308a3f7a54f13c10fa
NPUZ00122	US	Minis	Mini Squadron (Minis)	http://zeus.dl.playstation.net/cdn/UP4151/NPUZ00122_00/VTjZNLHnClLRXDNzBfdhiyYvCJmjCkKypIzfdnPOoeJRWmjhcZGptaIfqAasPgbXcyjeKJKbhAtuxjlKHvkBunceAsuBtnPtMQtOp.pkg	UP4151-NPUZ00122_00-MINISQUADRONXXUS	2017-10-30 15:53:52			28554288	1e3fa6e212a369de131b01ad917e3abac092ba09a44e4f3ed0e18518bbcf51cf
NPUZ00123	US	Minis	Bashi Blocks (Minis)	http://zeus.dl.playstation.net/cdn/UP4090/NPUZ00123_00/RfdhxjiybcAAZAIAEuChYAPmWPSRBwKmpiJcdUUhIEuLFFXwpbraIrBcReKIltMZIrCdcRlcklRpaGSiBMtNVCMHWfVMTrTAtPxaQ.pkg	UP4090-NPUZ00123_00-SOCCERBASHIPSPMN	2017-10-30 15:53:52			40155296	db899c772d6b5c56855e75b444f8fcc81bada92fa922faeda941a6a7a05af4ac
NPUZ00125	US	Minis	PAC-MAN Championship Edition (Minis)	http://zeus.dl.playstation.net/cdn/UP0700/NPUZ00125_00/lkIZKzNxJXUtSKxcFpvPnDQgRMbUiBcuvmrURMCeVGXCwVcqUeiKvKWRrzrofHXchgFKXBgZxTixGOVVvbxBVnruQIkaZnbzaNkom.pkg	UP0700-NPUZ00125_00-PACMANCHAMPEDITN	2017-10-30 15:53:52	CFFA8FC7E9069F2E0FC7F373F1DC2D7E	<< DOWNLOAD RAP >>	22120528	dbc73b498e32cca18699c137f855c144aa2aad11711ce60b6f314ff9ad4ea34a
NPUZ00126	US	Minis	Dr. Maybee And The Adventures Of Scary Girl (Minis)	http://zeus.dl.playstation.net/cdn/UP2016/NPUZ00126_00/aezDqRPbgSBFvskdCOGhrSEEATMrfjVsScobeTCQvSnGcoRZiDerqTNotJWcanVDtjbqVxKFcHgjmzUmUSYfIuoYtyBrUfBoTnfnF.pkg	UP2016-NPUZ00126_00-DRMAYBEE00000000	2017-10-30 15:53:52			12893600	87df427760e270f34cd01fa27b3e66adddbbb691386afd3d5683650e97b861a5
